default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
0,2,6,2,1,1169,2,2,4,1,0,4,2,67,0,1,2,1,1,1,1
1,3,48,1,1,5951,1,1,2,2,0,2,2,22,0,1,1,1,1,0,1
0,1,12,2,6,2096,1,3,2,1,0,3,2,49,0,1,1,2,2,0,1
0,2,42,1,3,7882,1,3,2,1,1,4,3,45,0,3,1,1,2,0,1
1,2,24,3,2,4870,1,1,3,1,0,4,4,53,0,3,2,1,2,0,1
0,1,36,1,6,9055,2,1,2,1,0,4,4,35,0,3,1,2,2,1,1
0,1,24,1,3,2835,4,2,3,1,0,4,3,53,0,1,1,1,1,0,1
0,3,36,1,4,6948,1,1,2,1,0,2,1,35,0,2,1,3,1,1,1
0,1,12,1,1,3059,5,3,2,4,0,4,2,61,0,1,1,2,1,0,1
1,3,30,2,2,5234,1,5,4,3,0,2,1,28,0,1,2,3,1,0,1
1,3,12,1,2,1295,1,4,3,2,0,1,1,25,0,2,1,1,1,0,1
1,2,48,1,5,4308,1,4,3,2,0,4,3,24,0,2,1,1,1,0,1
0,3,12,1,1,1567,1,1,1,2,0,1,1,22,0,1,1,1,1,1,1
1,2,24,2,2,1199,1,2,4,1,0,4,1,60,0,1,2,2,1,0,1
0,2,15,1,2,1403,1,1,2,2,0,4,1,28,0,2,1,1,1,0,1
1,2,24,1,1,1282,3,1,4,2,0,2,1,32,0,1,1,2,1,0,1
0,1,24,2,1,2424,2,2,4,1,0,4,3,53,0,1,2,1,1,0,1
0,2,30,5,5,8072,2,4,2,1,0,3,1,25,1,1,3,1,1,0,1
1,3,24,1,4,12579,1,2,4,2,0,2,4,44,0,3,1,3,1,1,1
0,1,24,1,1,3430,4,2,3,1,0,2,1,31,0,1,1,1,2,1,1
0,1,9,2,2,2134,1,1,4,1,0,4,1,48,0,1,3,1,1,1,1
0,2,6,1,1,2647,4,1,2,1,0,3,2,44,0,2,1,1,2,0,1
0,2,10,2,2,2241,1,4,1,1,0,3,2,48,0,2,2,2,2,0,0
0,3,12,2,4,1804,3,4,3,1,0,4,3,44,0,1,1,1,1,0,1
0,1,10,2,3,2069,2,1,2,3,0,1,1,26,0,1,2,1,1,0,0
0,2,6,1,3,1374,1,1,1,1,0,2,2,36,1,1,1,2,1,1,1
0,1,6,5,1,426,1,2,4,3,0,4,1,39,0,1,1,2,1,0,1
0,4,12,4,1,409,5,1,3,2,0,3,2,42,0,2,2,1,1,0,1
0,3,7,1,1,2415,1,1,3,1,1,2,2,34,0,1,1,1,1,0,1
1,2,60,3,5,6836,1,2,3,1,0,4,4,63,0,1,2,1,1,1,1
0,3,18,1,5,1913,5,4,3,3,0,3,2,36,1,1,1,1,1,1,1
0,2,24,1,3,4020,1,1,2,1,0,2,1,27,2,1,1,1,1,0,1
0,3,18,1,2,5866,3,1,2,1,0,2,1,30,0,1,2,1,1,1,1
0,1,12,2,5,1264,2,2,4,1,0,4,4,57,0,2,1,2,1,0,1
0,4,12,1,3,1474,1,4,4,2,0,1,3,33,1,1,1,3,1,1,1
1,3,45,2,1,4746,1,4,4,1,0,2,3,25,0,1,2,2,1,0,1
0,1,48,2,6,6110,1,1,1,1,0,3,4,31,1,3,1,1,1,1,1
1,4,18,1,1,2100,1,1,4,1,2,2,2,37,2,1,1,1,1,0,1
0,4,10,1,8,1225,1,1,2,1,0,2,1,37,0,1,1,1,1,1,1
0,3,9,1,1,458,1,1,4,1,0,3,2,24,0,1,1,1,1,0,1
0,1,30,1,1,2333,4,2,4,1,0,2,1,30,1,1,1,3,1,0,1
0,3,12,1,1,1158,4,1,3,4,0,1,1,26,0,1,1,1,1,1,1
0,3,18,3,7,6204,1,1,2,1,0,4,2,44,0,1,1,2,2,1,1
0,2,30,2,4,6187,3,3,1,3,0,4,1,24,0,2,2,1,1,0,1
1,2,48,2,4,6143,1,2,4,2,0,4,4,58,2,3,2,2,1,0,1
0,1,11,2,2,1393,1,4,4,2,0,4,1,35,0,1,2,3,1,0,1
0,1,36,1,1,2299,4,2,4,1,0,4,1,39,0,1,1,1,1,0,1
0,2,6,1,4,1352,4,5,1,2,0,2,3,23,0,2,1,4,1,1,1
0,1,11,2,2,7228,1,1,1,1,0,4,3,39,0,1,2,2,1,0,1
0,1,12,1,1,2073,3,1,4,2,2,2,2,28,0,1,1,1,1,0,1
0,3,24,3,3,2333,2,4,4,1,0,2,3,29,1,1,1,2,1,0,1
0,3,27,3,4,5965,1,2,1,1,0,2,1,30,0,1,2,3,1,1,1
0,1,12,1,1,1262,1,1,3,1,0,2,1,25,0,1,1,1,1,0,1
0,1,18,1,4,3378,2,1,2,1,0,1,3,31,0,1,1,1,1,1,1
1,3,36,3,2,2225,1,2,4,1,0,4,4,57,1,3,2,1,1,1,1
0,1,6,4,2,783,2,1,1,1,1,2,2,26,2,1,1,2,2,0,1
1,3,12,1,1,6468,2,5,2,1,0,1,4,52,0,1,1,3,1,1,1
0,1,36,2,1,9566,1,1,2,2,0,2,1,31,2,1,2,1,1,0,1
0,4,18,1,2,1961,1,2,3,2,0,2,1,23,0,1,1,3,1,0,1
1,2,36,2,3,6229,1,4,4,2,2,4,4,23,0,2,2,2,1,1,1
0,3,9,1,5,1391,1,1,2,3,0,1,2,27,1,1,1,1,1,1,1
0,3,15,2,1,1537,2,2,4,1,1,4,2,50,0,1,2,1,1,1,1
1,3,36,5,5,1953,1,2,4,1,0,4,4,61,0,3,1,3,1,1,1
1,3,48,5,5,14421,1,1,2,1,0,2,1,25,0,1,1,1,1,1,1
0,1,24,1,1,3181,1,4,4,2,0,4,3,26,0,1,1,1,1,1,1
0,1,27,1,7,5190,2,2,4,1,0,4,3,48,0,1,4,1,2,1,1
0,1,12,1,1,2171,1,4,2,2,0,2,1,29,1,1,1,1,1,0,1
0,3,12,1,2,1007,5,1,4,3,0,1,2,22,0,1,1,1,1,0,1
1,1,36,1,6,1819,1,1,4,1,0,4,4,37,2,3,1,1,1,1,1
0,1,36,1,1,2394,2,1,4,2,0,4,1,25,0,1,1,1,1,0,1
0,1,36,1,4,8133,1,1,1,2,0,2,3,30,1,1,1,1,1,0,1
0,1,7,2,1,730,2,2,4,1,0,2,3,46,0,2,2,2,1,1,1
0,2,8,2,9,1164,1,2,3,1,0,4,4,51,1,3,2,3,2,1,1
0,3,42,2,5,5954,1,3,2,2,0,1,2,41,1,1,2,2,1,0,1
1,2,36,1,6,1977,2,2,4,1,0,4,4,40,0,1,1,3,1,1,1
0,2,12,2,4,1526,1,2,4,1,0,4,4,66,0,3,2,3,1,0,1
1,2,42,1,1,3965,1,4,4,1,0,3,1,34,0,1,1,1,1,0,1
0,3,11,3,1,4771,1,3,2,1,0,4,3,51,0,1,1,1,1,0,1
0,1,54,5,4,9436,2,1,2,1,0,2,3,39,0,1,1,2,2,0,1
0,3,30,1,3,3832,1,4,2,3,0,1,3,22,0,1,1,1,1,0,1
1,1,24,1,1,5943,2,4,1,2,0,1,1,44,0,1,2,1,1,1,1
0,1,15,1,1,1213,4,2,4,1,0,3,3,47,2,1,1,1,1,1,1
0,1,18,1,5,1568,3,1,3,2,0,4,3,24,0,2,1,2,1,0,1
0,2,24,1,9,1755,1,2,4,2,1,4,2,58,0,1,1,2,1,1,1
0,2,10,1,1,2315,1,2,3,1,0,4,2,52,0,1,1,2,1,0,1
0,1,12,2,5,1412,1,1,4,2,1,2,2,29,0,1,2,3,1,1,1
0,3,18,2,3,1295,1,4,4,2,0,1,3,27,0,1,2,1,1,0,1
1,3,36,1,6,12612,3,1,1,1,0,4,4,47,0,3,1,1,2,1,1
0,2,18,1,2,2249,3,3,4,1,0,3,1,30,0,1,1,3,2,1,1
1,2,12,5,7,1108,1,3,4,1,0,3,2,28,0,1,2,1,1,0,1
0,1,12,2,1,618,1,2,4,1,0,4,2,56,0,1,1,1,1,0,1
0,2,12,2,4,1409,1,2,4,1,0,3,2,54,0,1,1,1,1,0,1
1,1,12,2,1,797,2,2,4,2,0,3,3,33,1,1,1,2,2,0,1
0,4,24,2,3,3617,2,2,4,1,2,4,4,20,0,2,2,1,1,0,1
0,3,12,1,2,1318,5,2,4,1,0,4,2,54,0,1,1,1,1,1,1
1,3,54,5,5,15945,1,4,3,1,0,4,4,58,0,2,1,1,1,1,1
0,1,12,2,6,2012,2,3,4,2,0,2,1,61,0,1,1,1,1,0,1
0,3,18,1,5,2622,3,1,4,1,0,4,1,34,0,1,1,1,1,0,1
0,3,36,2,1,2337,1,2,4,1,0,4,2,36,0,1,1,1,1,0,1
0,3,20,3,4,7057,2,3,3,1,0,4,3,36,1,2,2,3,2,1,1
0,1,24,1,2,1469,3,2,4,3,0,4,2,41,0,2,1,2,1,0,1
0,3,36,1,1,2323,1,3,4,1,0,4,1,24,0,2,1,1,1,0,1
0,1,6,3,1,932,1,1,3,2,0,2,2,24,0,1,1,1,1,0,1
0,3,9,2,3,1919,1,3,4,1,0,3,1,35,0,2,1,1,1,1,1
0,1,12,1,4,2445,2,4,2,3,0,4,1,26,0,2,1,1,1,1,1
1,3,24,2,9,11938,1,1,2,1,2,3,1,39,0,1,2,3,2,1,1
1,1,18,4,2,6458,1,2,2,1,0,4,4,39,1,1,2,3,2,1,1
0,3,12,1,2,6078,1,3,2,1,0,2,1,32,0,1,1,1,1,0,1
0,2,24,1,3,7721,2,4,1,2,0,2,3,30,0,1,1,1,1,1,0
0,3,14,1,5,1410,4,2,1,3,0,2,2,35,0,1,1,1,1,1,1
0,3,6,3,5,1449,3,2,1,4,0,2,1,31,1,1,2,1,2,0,1
0,4,15,1,6,392,1,4,4,2,0,4,3,23,0,2,1,1,1,1,1
0,3,18,1,2,6260,1,3,3,1,0,3,2,28,0,2,1,2,1,0,1
1,1,36,2,2,7855,1,1,4,2,0,2,2,25,2,1,2,1,1,1,1
0,2,12,1,1,1680,4,2,3,3,0,1,2,35,0,1,1,1,1,0,1
0,1,48,2,1,3578,2,2,4,1,0,1,2,47,0,1,1,1,1,1,1
1,2,42,1,1,7174,2,3,4,2,0,3,1,30,0,1,1,3,1,1,1
0,2,10,2,3,2132,2,4,2,2,2,3,2,27,0,2,2,1,1,0,0
1,2,33,2,3,4281,4,1,1,2,0,4,1,23,0,1,2,1,1,0,1
0,3,12,2,2,2366,4,3,3,4,0,3,1,36,0,1,1,3,1,1,1
1,2,21,1,1,1835,1,1,3,2,0,2,2,25,0,1,2,1,1,1,1
0,1,24,2,4,3868,1,2,4,2,0,2,1,41,0,2,2,3,1,1,1
0,1,12,1,3,1768,1,1,3,1,0,2,2,24,0,2,1,2,1,0,1
0,4,10,2,2,781,1,2,4,1,0,4,4,63,0,3,2,1,1,1,1
1,3,18,1,3,1924,2,4,4,2,0,3,2,27,0,2,1,1,1,0,1
0,2,12,2,2,2121,1,1,4,1,0,2,3,30,0,1,2,1,1,0,1
0,2,12,1,1,701,1,1,4,3,0,2,2,40,0,1,1,2,1,0,1
1,3,12,1,7,639,1,1,4,1,0,2,1,30,0,1,1,1,1,0,1
0,3,12,2,4,1860,1,5,4,1,0,2,1,34,0,1,2,3,1,1,1
1,2,12,2,2,3499,1,1,3,2,2,2,2,29,0,1,2,1,1,0,1
0,3,48,1,2,8487,2,3,1,2,0,2,1,24,0,1,1,1,1,0,1
1,2,36,3,6,6887,1,1,4,1,0,3,3,29,2,1,1,1,1,1,1
0,1,15,1,3,2708,1,4,2,1,0,3,3,27,1,1,2,2,1,0,1
0,1,18,1,3,1984,1,1,4,1,0,4,4,47,1,3,2,1,1,0,1
0,1,60,1,1,10144,3,3,2,2,0,4,2,21,0,1,1,1,1,1,1
0,1,12,2,1,1240,2,2,4,2,0,2,2,38,0,1,2,1,1,1,1
0,1,27,3,4,8613,5,1,2,1,0,2,1,27,0,1,2,1,1,0,1
1,3,12,1,1,766,4,1,4,1,0,3,2,66,0,1,1,2,1,0,1
0,3,15,2,1,2728,2,3,4,1,1,2,2,35,1,1,3,1,1,1,1
0,4,12,1,1,1881,1,1,2,2,0,2,1,44,0,2,1,2,1,1,1
0,4,6,1,2,709,5,4,2,3,0,2,2,27,0,1,1,4,1,0,0
0,3,36,1,1,4795,1,4,4,2,0,1,4,30,0,1,1,3,1,1,1
0,2,27,1,1,3416,1,1,3,1,0,2,1,27,0,1,1,3,1,0,1
1,2,18,1,3,2462,1,1,2,1,0,2,1,22,0,1,1,1,1,0,1
0,1,21,2,3,2288,1,4,4,2,0,4,3,23,0,1,1,1,1,1,1
0,3,48,4,5,3566,3,3,4,1,0,2,1,30,0,1,1,1,1,0,1
0,2,6,2,2,860,1,2,1,2,0,4,4,39,0,1,2,1,1,1,1
0,1,12,2,2,682,3,3,4,2,0,3,1,51,0,1,2,1,1,1,1
0,2,36,2,3,5371,1,1,3,1,1,2,3,28,0,1,2,1,1,0,1
0,1,18,2,1,1582,5,2,4,1,0,4,1,46,0,1,2,1,1,0,1
0,1,6,1,1,1346,3,2,2,1,0,4,4,42,1,3,1,1,2,1,1
0,1,10,1,1,1924,1,1,1,1,0,4,3,38,0,1,1,1,1,1,0
0,4,36,1,1,5848,1,1,4,1,0,1,1,24,0,1,1,1,1,0,1
0,3,24,2,4,7758,5,2,2,2,0,4,4,29,0,2,1,1,1,0,1
0,3,24,3,5,6967,3,3,4,1,0,4,1,36,0,2,1,3,1,1,1
1,2,12,1,3,1282,1,1,2,2,0,4,1,20,0,2,1,1,1,0,1
0,2,9,2,7,1288,3,2,3,1,1,4,2,48,0,1,2,1,2,0,0
0,2,12,4,10,339,1,2,4,3,0,1,1,45,1,1,1,2,1,0,1
0,3,24,1,2,3512,3,3,2,1,0,3,1,38,1,1,2,1,1,1,1
0,1,6,2,1,1898,2,1,1,1,0,2,2,34,0,1,2,2,2,0,1
0,1,24,2,1,2872,3,2,3,1,0,4,2,36,0,1,1,1,2,1,1
0,1,18,2,2,1055,1,4,4,2,0,1,3,30,0,1,2,1,1,0,1
0,1,15,1,8,1262,4,3,4,1,0,3,3,36,0,1,2,1,1,1,1
0,3,10,1,2,7308,1,5,2,1,0,4,4,70,1,3,1,3,1,1,1
0,1,36,1,2,909,4,2,4,1,0,4,3,36,0,1,1,1,1,0,1
0,1,6,1,3,2978,4,1,1,1,0,2,1,32,0,1,1,1,1,1,1
1,2,18,1,3,1131,1,5,4,2,0,2,1,33,0,1,1,1,1,0,1
0,3,11,1,3,1577,5,4,4,2,0,1,2,20,0,1,1,1,1,0,1
0,1,24,1,3,3972,1,3,2,2,0,4,3,25,0,2,1,1,1,1,1
1,3,24,2,5,1935,1,2,4,4,0,4,2,31,0,1,2,1,1,1,1
1,2,15,5,2,950,1,2,4,1,0,3,1,33,0,2,2,1,2,0,1
0,1,12,1,3,763,1,1,4,2,0,1,2,26,0,1,1,1,1,1,1
1,3,24,3,3,2064,1,5,3,2,0,2,3,34,0,1,1,3,1,1,1
0,3,8,1,1,1414,1,1,4,1,1,2,2,33,0,1,1,1,1,0,0
1,2,21,3,6,3414,1,4,2,1,0,1,3,26,0,1,2,1,1,0,1
1,1,30,4,4,7485,2,5,4,2,0,1,2,53,1,1,1,3,1,1,1
0,2,12,1,3,2577,1,1,2,4,0,1,1,42,0,1,1,1,1,0,1
0,2,6,2,1,338,4,2,4,1,0,4,1,52,0,1,2,1,1,0,1
0,1,12,1,1,1963,1,3,4,1,0,2,1,31,0,2,2,3,2,1,1
0,2,21,2,2,571,1,2,4,1,0,4,2,65,0,1,2,1,1,0,1
1,1,36,3,5,9572,1,4,1,4,0,1,1,28,0,1,2,1,1,0,1
1,3,36,3,5,4455,1,1,2,4,0,2,2,30,2,1,2,3,1,1,1
1,2,21,4,2,1647,2,1,4,1,0,2,3,40,0,1,2,2,2,0,1
0,1,24,2,3,3777,5,1,4,1,0,4,2,50,0,1,1,1,1,1,1
1,3,18,2,2,884,1,2,4,1,0,4,1,36,1,1,1,1,2,1,1
0,1,15,2,1,1360,1,1,4,1,0,2,3,31,0,1,2,1,1,0,1
1,3,9,4,4,5129,1,2,2,2,0,4,4,74,1,3,1,3,2,1,1
0,3,16,2,2,1175,1,5,2,1,0,3,1,68,0,3,3,4,1,1,1
1,2,12,1,1,674,3,3,4,3,0,1,3,20,0,1,1,1,1,0,1
0,3,18,5,3,3244,1,1,1,2,0,4,1,33,1,1,2,1,1,1,1
1,1,24,1,5,4591,5,1,2,1,0,3,3,54,0,1,3,3,1,1,1
1,3,48,5,5,3844,3,3,4,1,0,4,4,34,0,3,1,2,2,0,1
1,3,27,1,5,3915,1,1,4,1,0,2,1,36,0,1,1,1,2,1,1
0,1,6,1,1,2108,1,3,2,3,0,2,2,29,0,2,1,1,1,0,1
1,3,45,1,1,3031,3,1,4,1,1,4,3,21,0,2,1,1,1,0,1
1,3,9,2,6,1501,1,2,2,2,0,3,1,34,0,1,2,3,1,1,1
0,1,6,2,1,1382,1,1,1,2,0,1,1,28,0,1,2,1,1,1,1
1,3,12,1,3,951,3,4,4,2,0,4,1,27,1,2,4,1,1,0,1
0,3,24,1,4,2760,2,2,4,1,0,4,4,36,1,3,1,1,1,1,1
1,3,18,3,3,4297,1,2,4,4,0,3,4,40,0,1,1,3,1,1,1
0,1,9,2,6,936,4,2,4,1,0,2,1,52,0,1,2,1,1,1,1
0,2,12,1,2,1168,1,1,4,3,0,3,2,27,0,1,1,2,1,0,1
0,1,27,3,5,5117,1,3,3,1,0,4,1,26,0,1,2,1,1,0,1
1,2,12,1,10,902,1,3,4,3,0,4,3,21,0,2,1,1,1,0,1
0,1,12,2,2,1495,1,2,4,1,0,1,2,38,0,1,2,2,2,0,1
0,2,30,2,4,10623,1,2,3,1,0,4,4,38,0,3,3,3,2,1,1
0,1,12,2,3,1935,1,2,4,1,0,4,2,43,0,1,3,1,1,1,1
0,3,12,2,8,1424,1,3,4,1,0,3,3,26,0,1,1,1,1,0,1
0,2,24,1,5,6568,1,1,2,3,0,2,1,21,2,1,1,2,1,0,1
0,1,12,1,4,1413,5,3,3,1,0,2,3,55,0,1,1,1,1,0,0
0,1,9,2,1,3074,2,1,1,1,0,2,2,33,0,1,2,1,2,0,1
0,1,36,1,1,3835,2,2,2,2,0,4,2,45,0,1,1,2,1,1,1
1,2,27,5,5,5293,1,5,2,1,0,4,3,50,2,1,2,1,1,1,1
1,4,30,3,5,1908,1,2,4,1,0,4,2,66,0,1,1,3,1,1,1
0,1,36,2,1,3342,2,2,4,1,0,2,1,51,0,1,1,1,1,1,1
0,3,6,2,10,932,2,3,1,2,0,3,3,39,0,1,2,2,1,0,1
0,2,18,5,5,3104,1,3,3,1,0,1,3,31,1,1,1,1,1,1,1
0,4,36,1,1,3913,1,1,2,1,0,2,2,23,0,1,1,1,1,1,1
0,2,24,1,3,3021,1,1,2,4,0,2,2,24,0,2,1,2,1,0,1
0,1,10,1,2,1364,1,1,2,2,0,4,1,64,0,1,1,1,1,1,1
0,3,12,1,1,625,1,4,4,3,1,1,2,26,1,1,1,2,1,0,1
0,2,12,1,6,1200,2,1,4,2,0,4,3,23,1,2,1,1,1,1,1
0,1,12,1,1,707,1,1,4,1,0,2,2,30,1,1,2,1,1,0,1
0,1,24,3,5,2978,2,1,4,1,0,4,2,32,0,1,2,1,2,1,1
0,1,15,1,4,4657,1,1,3,1,0,2,1,30,0,1,1,1,1,1,1
0,1,36,5,7,2613,1,1,4,1,0,2,1,27,0,1,2,1,1,0,1
1,3,48,1,1,10961,5,3,1,1,2,2,4,27,1,1,2,1,1,1,1
1,2,12,1,3,7865,1,2,4,1,0,4,4,53,0,3,1,3,1,1,1
1,1,9,1,1,1478,1,3,4,1,0,2,1,22,0,1,1,1,1,0,1
0,2,24,1,3,3149,1,4,4,1,0,1,4,22,1,3,1,1,1,0,1
1,4,36,1,1,4210,1,1,4,1,0,2,1,26,0,1,1,1,1,0,1
0,1,9,1,2,2507,4,2,2,1,0,4,4,51,0,3,1,2,1,0,1
0,1,12,1,1,2141,3,3,3,1,0,1,4,35,0,1,1,1,1,0,1
0,3,18,1,1,866,1,1,4,3,1,2,2,25,0,1,1,2,1,0,1
0,1,4,2,1,1544,1,3,2,1,0,1,2,42,0,1,3,2,2,0,1
1,2,24,1,1,1823,1,5,4,1,0,2,1,30,2,1,1,3,2,0,1
1,3,6,1,2,14555,2,5,1,1,0,2,3,23,0,1,1,4,1,1,1
1,3,21,1,5,2767,3,2,4,4,0,2,1,61,1,2,2,2,1,0,1
0,1,12,2,1,1291,1,1,4,2,0,2,3,35,0,1,2,1,1,0,1
0,2,30,1,1,2522,1,2,1,1,1,3,3,39,0,1,1,1,2,0,1
1,2,24,1,2,915,2,2,4,2,0,2,1,29,1,1,1,1,1,0,1
0,1,6,1,1,1595,1,3,3,1,0,2,3,51,0,1,1,1,2,0,1
1,2,48,5,4,4605,1,2,3,1,0,4,4,24,0,3,2,1,2,0,1
0,1,12,2,5,1185,1,1,3,2,0,2,2,27,0,1,2,1,1,0,1
0,1,12,4,10,3447,4,1,4,2,0,3,2,35,0,1,1,2,2,0,1
